enterprise_nbr, naics_id_primary, naics_name_primary, naics_id_list, naics_name_list
12940,213112,Support Activities for Oil and Gas Operations,|211111|454311|454312|221210|324191|324110|213112|,|Crude Petroleum and Natural Gas Extraction|Heating Oil Dealers|Liquefied Petroleum Gas (Bottled Gas) Dealers|Natural Gas Distribution|Petroleum Lubricating Oil and Grease Manufacturing|Petroleum Refineries|Support Activities for Oil and Gas Operations|
193293,333120,Construction Machinery Manufacturing,|333298|333120|333994|333319|333923|333220|332410|336510|333295|,"|All Other Industrial Machinery Manufacturing|Construction Machinery Manufacturing|Industrial Process Furnace and Oven Manufacturing|Other Commercial and Service Industry Machinery Manufacturing|Overhead Traveling Crane, Hoist, and Monorail System Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Railroad Rolling Stock Manufacturing|Semiconductor Machinery Manufacturing|"
372192,524113,Direct Life Insurance Carriers,|524114|524113|525190|,|Direct Health and Medical Insurance Carriers|Direct Life Insurance Carriers|Other Insurance Funds|
198007,441229,All Other Motor Vehicle Dealers,|441229|425110|423860|425120|,|All Other Motor Vehicle Dealers|Business to Business Electronic Markets|Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers|Wholesale Trade Agents and Brokers|
1898246,541380,Testing Laboratories,|541380|,|Testing Laboratories|
508677,541511,Custom Computer Programming Services,|541511|,|Custom Computer Programming Services|
503949,316211,Rubber and Plastics Footwear Manufacturing,|316213|315211|315999|316211|316214|315231|315212|,"|Men's Footwear (except Athletic) Manufacturing|Men's and Boys' Cut and Sew Apparel Contractors|Other Apparel Accessories and Other Apparel Manufacturing|Rubber and Plastics Footwear Manufacturing|Women's Footwear (except Athletic) Manufacturing|Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing|Women's, Girls', and Infants' Cut and Sew Apparel Contractors|"
485780,551111,Offices of Bank Holding Companies,|522298|522110|522291|522210|551111|522220|522120|,|All Other Nondepository Credit Intermediation|Commercial Banking|Consumer Lending|Credit Card Issuing|Offices of Bank Holding Companies|Sales Financing|Savings Institutions|
526971,512110,Motion Picture and Video Production,|512110|,|Motion Picture and Video Production|
519948,311423,Dried and Dehydrated Food Manufacturing,|311423|311823|,|Dried and Dehydrated Food Manufacturing|Dry Pasta Manufacturing|
519976,522110,Commercial Banking,|522110|,|Commercial Banking|
536784,524292,Third Party Administration of Insurance and Pension Funds,|522110|525120|525990|525110|523920|524292|,|Commercial Banking|Health and Welfare Funds|Other Financial Vehicles|Pension Funds|Portfolio Management|Third Party Administration of Insurance and Pension Funds|
535965,512110,Motion Picture and Video Production,|512120|512110|,|Motion Picture and Video Distribution|Motion Picture and Video Production|
1897386,713940,Fitness and Recreational Sports Centers,|713940|,|Fitness and Recreational Sports Centers|
510626,512120,Motion Picture and Video Distribution,|512120|,|Motion Picture and Video Distribution|
1898766,812112,Beauty Salons,|812112|,|Beauty Salons|
527828,448210,Shoe Stores,|448210|,|Shoe Stores|
554752,721199,All Other Traveler Accommodation,|721199|721110|531110|531312|531210|531320|531390|813990|531311|,"|All Other Traveler Accommodation|Hotels (except Casino Hotels) and Motels|Lessors of Residential Buildings and Dwellings|Nonresidential Property Managers|Offices of Real Estate Agents and Brokers|Offices of Real Estate Appraisers|Other Activities Related to Real Estate|Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)|Residential Property Managers|"
550646,511140,Database and Directory Publishers,|511199|511130|518210|511140|,"|All Other Publishers|Book Publishers|Data Processing, Hosting, and Related Services|Database and Directory Publishers|"
550651,325411,Medicinal and Botanical Manufacturing,|325414|311411|325411|722330|,"|Biological Product (except Diagnostic) Manufacturing|Frozen Fruit, Juice, and Vegetable Manufacturing|Medicinal and Botanical Manufacturing|Mobile Food Services|"
557420,541430,Graphic Design Services,|541430|,|Graphic Design Services|
549779,448310,Jewelry Stores,|339911|448310|,|Jewelry (except Costume) Manufacturing|Jewelry Stores|
573158,561330,Employee Leasing Services,|561330|561320|,|Employee Leasing Services|Temporary Help Services|
582198,522120,Savings Institutions,|522120|,|Savings Institutions|
578195,325414,Biological Product (except Diagnostic) Manufacturing,|325414|541720|,|Biological Product (except Diagnostic) Manufacturing|Research and Development in the Social Sciences and Humanities|
577351,334517,Irradiation Apparatus Manufacturing,|446199|334517|339111|,|All Other Health and Personal Care Stores|Irradiation Apparatus Manufacturing|Laboratory Apparatus and Furniture Manufacturing|
576763,339111,Laboratory Apparatus and Furniture Manufacturing,|339111|,|Laboratory Apparatus and Furniture Manufacturing|
1900013,561591,Convention and Visitors Bureaus,|561591|,|Convention and Visitors Bureaus|
579280,511140,Database and Directory Publishers,|511199|511130|511140|,|All Other Publishers|Book Publishers|Database and Directory Publishers|
633126,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",|541611|622110|541612|541613|541614|926150|,"|Administrative Management and General Management Consulting Service|General Medical and Surgical Hospitals|Human Resources and Executive Search Consulting Services|Marketing Consulting Services|Process, Physical Distribution, and Logistics Consulting Services|Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors|"
78180,311930,Flavoring Syrup and Concentrate Manufacturing,|311930|311942|,|Flavoring Syrup and Concentrate Manufacturing|Spice and Extract Manufacturing|
581227,237110,Water and Sewer Line and Related Structures Construction,|236210|237120|237990|237130|237110|,|Industrial Building Construction|Oil and Gas Pipeline and Related Structures Construction|Other Heavy and Civil Engineering Construction|Power and Communication Line and Related Structures Construction|Water and Sewer Line and Related Structures Construction|
628971,541720,Research and Development in the Social Sciences and Humanities,|621512|541720|,|Diagnostic Imaging Centers|Research and Development in the Social Sciences and Humanities|
1220096,311821,Cookie and Cracker Manufacturing,|311812|311821|311919|,|Commercial Bakeries|Cookie and Cracker Manufacturing|Other Snack Food Manufacturing|
1247816,713940,Fitness and Recreational Sports Centers,|713940|,|Fitness and Recreational Sports Centers|
932868,333319,Other Commercial and Service Industry Machinery Manufacturing,|333298|333996|333319|333220|332410|333295|221310|,|All Other Industrial Machinery Manufacturing|Fluid Power Pump and Motor Manufacturing|Other Commercial and Service Industry Machinery Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Semiconductor Machinery Manufacturing|Water Supply and Irrigation Systems|
964032,446191,Food (Health) Supplement Stores,|446120|446191|446110|,"|Cosmetics, Beauty Supplies, and Perfume Stores|Food (Health) Supplement Stores|Pharmacies and Drug Stores|"
988678,813319,Other Social Advocacy Organizations,|813319|,|Other Social Advocacy Organizations|
1216506,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,|332919|332913|327111|,|Other Metal Valve and Pipe Fitting Manufacturing|Plumbing Fixture Fitting and Trim Manufacturing|Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing|
1097512,522310,Mortgage and Nonmortgage Loan Brokers,|522310|,|Mortgage and Nonmortgage Loan Brokers|
896219,711211,Sports Teams and Clubs,|711211|,|Sports Teams and Clubs|
1323702,541910,Marketing Research and Public Opinion Polling,|541910|,|Marketing Research and Public Opinion Polling|
1352312,334611,Software Reproducing,|511210|334611|,|Software Publishers|Software Reproducing|
620282,322221,Coated and Laminated Packaging Paper and Plastics Film Manufacturing,|322221|339991|326112|,"|Coated and Laminated Packaging Paper and Plastics Film Manufacturing|Gasket, Packing, and Sealing Device Manufacturing|Unsupported Plastics Packaging Film and Sheet Manufacturing|"
1320238,531210,Offices of Real Estate Agents and Brokers,|531110|531312|531210|531320|531390|813990|531311|,"|Lessors of Residential Buildings and Dwellings|Nonresidential Property Managers|Offices of Real Estate Agents and Brokers|Offices of Real Estate Appraisers|Other Activities Related to Real Estate|Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)|Residential Property Managers|"
1399463,238210,Electrical Contractors,|238210|238220|238910|,"|Electrical Contractors|Plumbing, Heating, and Air-Conditioning Contractors|Site Preparation Contractors|"
398898,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,|334418|334220|334210|,|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|Telephone Apparatus Manufacturing|
1351469,325412,Pharmaceutical Preparation Manufacturing,|621512|325413|325412|,|Diagnostic Imaging Centers|In-Vitro Diagnostic Substance Manufacturing|Pharmaceutical Preparation Manufacturing|
1419074,713940,Fitness and Recreational Sports Centers,|713940|,|Fitness and Recreational Sports Centers|
1468994,335211,Electric Housewares and Household Fan Manufacturing,|335211|333414|443111|443112|,"|Electric Housewares and Household Fan Manufacturing|Heating Equipment (except Warm Air Furnaces) Manufacturing|Household Appliance Stores|Radio, Television, and Other Electronics Stores|"
158312,541860,Direct Mail Advertising,|511199|511130|511140|541860|,|All Other Publishers|Book Publishers|Database and Directory Publishers|Direct Mail Advertising|
79053,561613,Armored Car Services,|541870|561499|561990|561613|561611|561439|561612|561621|,|Advertising Material Distribution Services|All Other Business Support Services|All Other Support Services|Armored Car Services|Investigation Services|Other Business Service Centers (including Copy Shops)|Security Guards and Patrol Services|Security Systems Services (except Locksmiths)|
1606500,811198,All Other Automotive Repair and Maintenance,|811198|811118|,|All Other Automotive Repair and Maintenance|Other Automotive Mechanical and Electrical Repair and Maintenance|
271413,334611,Software Reproducing,|334119|334418|511210|334611|,|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Software Publishers|Software Reproducing|
